kode_klasifikasi;jenis_klasifikasi;jenis_arsip;waktu_aktif_num;waktu_aktif_ket;waktu_inaktif_num;waktu_inaktif_ket;nasib_akhir;nasib_akhir_ket
PK 07.05;Substantif;"Klarifikasi dan Mutasi Benda Sitaan/Barang Rampasan
Negara : Naskah-naskah yang berkaitan dengan kegiatan Klarifikasi
dan Mutasi Benda Sitaan/Barang Rampasan Negara

";2;Tahun setelah inkraacht;3;;Musnah;
PK 08.01;Substantif;"Keamanan dan Kepatuhan Internal Kode Etik ; Naskah-naskah yang berkaitan dengan:
- prosedur dan kebutuhan wewenang oleh petugas pemasyarakatan;
- kegiatan upaya penegakan kode etik dan pengawasan internal terhadap petugas pemasyarakatan, misalnya petugas yang terlibat narkoba, dll
- memeriksa dan melaksanakan sidang kode etik kepada
pegawai yang melanggar kode etik profesi.
";2;;3;;Musnah;
PK 08.02;Substantif;"Layanan Pengaduan : Naskah-naskah yang berkaitan dengan kegiatan:
- verifikasi terhadap substansi pengaduan dan klarifikasi atas laporan pengaduan kepada pihak pengadu;
- investigasi terhadap laporan pengaduan;
- Tindak lanjut terkait untuk  merespon pengaduan, perbaikan pelayanan dan/atau memberikan klarifikasi
kepada publik yang menyampaikan pengaduan.
";2;;3;;Musnah;
PK 08.03;Substantif;"Intelijen : Naskah-naskah yang berkaitan dengan kegiatan:
- Pemetaan UPT Pemasyarakatan Rawan Gangguan Kamtib
- Deteksi Dini UPT
- Penggalangan UPT
- Pelatihan internal, dan Pelatihan dengan NGO
";2;Tahun setelah tindak lanjut;1;;Musnah;
PK 08.04;Substantif;"Pembinaan dan Penyelenggaraan Layanan Intelijen :Naskah-naskah yang berkaitan dengan Layanan Intelijen, Laporan analisis gangguan kamtib, laporan atensi intelijen,
profil, diseminasi gangguan, dan lap triwulan


";2;;1;;Musnah;
PK 08.05;Substantif;"Pencegahan dan Pemeliharaan Keamanan dan Ketertiban : Naskah-naskah yang berkaitan dengan kegiatan :
- Strategi Pencegahan UPT Pemasyarakatan terhadap gangguan keamanan dan pemetaan kerawanan terhadap gangguan keamanan dan ketertiban;
- Tata tertib dalam Lapas/Rutan;
- Pencegahan keamanan dengan penggunaan sarana keamanan; 
- Penggeledahan dan tes urine di seluruh UPT Pemasyarakatan;
- Pemeliharaan Keamanan dengan sarana dan prasarana
keamanan.

";1;;2;;Musnah;
PK 08.06;Substantif;"Penindakan dan Penanggulangan : Naskah-naskah yang berkaitan dengan kegiatan :
- Pembentukan, dan pelaksanaan tugas dan fungsi satopspatnal baik ditingkat pusat, wilayah, dan UPT;
- Penindakan  dengan  keadaan tertentu seperti pemberontakan, kebakaran, bencana alam atau penyerangan dari luar UPT;
- pembentukan tim tanggap darurat di UPT dan termasuk pelatihan yang diberikan terhadap personilnya;
- Berbagai kasus gangguan keamanan dan ketertiban yang terjadi di UPT, serta berbagai upaya penindakan dalam rangka menanggulangi gangguan kamtib yang pelaporannya dilakukan secara berjenjang baik rutin maupun insidentil.
- Penegakan keamanan dan tata tertib yang berupa pemberian sanksi terhadap pelanggaran tata tertib yang dilakukan narapidana, anak, tahanan baik berupa tindakan disiplin ataupun hukuman disiplin yang setiap pelaksanaannya dilaporkan baik rutin maupun insidentil;
- Pemulihan   seperti   rekonsiliasi,   rehabilitasi,   dan
rekonstruksi setelah terjadinya gangguan keamanan dalam keadaan tertentu.
";1;;2;;Musnah;
GR 01.01;Substantif;"Kebijakan Imigrasi meliputi kebijakan di bidang: Lalu Lintas Keimigrasian, Izin Tinggal Orang Asing dan Status Keimigrasian, Penindakan Keimigrasian dan Pendetensian, Kerjasama  Keimigrasian,  Pembinaan  bidang  Keimigrasian,
Intelijen Keimigrasian, Lintas Informasi Keimigrasian, dan Data Elektronik Personal Keimigrasian ; Naskah-naskah yang berkaitan dengan Kebijakan Imigrasi meliputi kebijakan di bidang: Lalu Lintas Keimigrasian, Izin Tinggal Orang Asing dan Status Keimigrasian, Penindakan Keimigrasian dan Pendetensian, Kerjasama Keimigrasian, Pembinaan bidang Keimigrasian, Intelijen Keimigrasian, Lintas Informasi Keimigrasian, dan Data Elektronik Personal
Keimigrasian

";2;;3;;Permanen;
GR 01.02;Substantif;"Dokumen Perjalanan Republik Indonesia (DPRI) : Naskah-naskah yang berkaitan dengan Dokumen Perjalanan Republik Indonesia (fotocopy KTP, Kartu Keluarga, Akte Lahir,  Ijazah,  Surat  Pernyataan,  Perdim  11)  dan  Surat
Pejalanan Laksana Paspor (SPLP) Warga Negara Indonesia
";2;Tahun setelah tidak berlaku;1;;Musnah;kecuali Biometrik Vita
GR 01.03;Substantif;"Pas Lintas Batas : Naskah-naskah yang berkaitan dengan Pas Lintas Batas, Pax List dan Crew List
";1;Tahun setelah tidak berlaku;4;;Musnah;
GR 01.04;Substantif;"Surat Pejalanan Laksana Paspor (SPLP) Warga Negara Asing : Naskah-naskah yang berkaitan dengan Pas Lintas Batas Warga Negara Asing (WNA)
- Visa (Visa Transit, Visa Kunjungan Saat Kedatangan/Visa on Arrival (VOA), Visa Kunjungan Wisata, Visa Kunjungan Sosial Budaya, Visa Kunjungan Usaha dan Visa Kunjungan Tinggal Terbatas
- Daftar   Penumpang   (Pax   List)   dan   Daftar   Awak
Kapal/Pesawat (Crew List)
";1;Tahun setelah tidak berlaku;4;;Musnah;
GR 01.05;Substantif;"Fasilitas Keimigrasian antara lain ABTC (Asia Pacific
Economic Corporation Business Travel Card) dan Smart Card : Naskah-naskah yang berkaitan dengan  Kartu  ABTC  (Asia
Pacific Economic Corporation Business Travel Card) dan Smart Card

";1;Tahun setelah tidak berlaku;4;;Musnah;
GR 01.06;Substantif;"Persetujuan Visa : Naskah-naskah  yang  berkaitan  dengan  Persetujuan  Visa (Visa Kunjungan, Visa Kunjungan Saat Kedatangan (VKSK), Visa Tinggal Terbatas)
";;Selama masih dipergunakan ;1;;Musnah;
GR 01.07;Substantif;"Bebas Visa Kunjungan (BVK) : Naskah-naskah yang berkaitan dengan Bebas Visa Kunjungan
";;Selama masih dipergunakan ;1;;Musnah;
GR 01.08;Substantif;"Tanda Masuk dan Tanda Keluar : Naskah-naskah yang berkaitan dengan Tanda Masuk Dan
Keluar
";;Selama masih dipergunakan ;1;;Musnah;
GR 01.09;Substantif;"Rekomendasi Untuk Mendapatkan Work and Holiday Visa : Naskah-naskah yang berkaitan dengan Rekomendasi Untuk Mendapatkan Work and Holiday Visa
";1;;1;;Musnah;
GR 01.10;Substantif;"Pengelolaan Dokumen Blangko DPRI, Visa, dan Perdim  : Naskah-naskah yang berkaitan dengan Pengelolaan Dokumen Blangko DPRI, Visa, dan Perdim
";1;Tahun setelah pemeriksann;5;;Musnah;
GR 02.01;Substantif;"Izin Tinggal Kunjungan (ITK) :Naskah-naskah Yang Berkaitan Dengan Izin TinggalKunjungan
";;Selama masih dipergunakan ;1;;Musnah;
GR 02.02;Substantif;Izin Tinggal Terbatas (ITAS) : Naskah-naskah Yang Berkaitan Dengan Izin Tinggal Terbatas;;Selama masih dipergunakan ;4;;Musnah;
GR 02.03;Substantif;Izin Tinggal Tetap (ITAP) : Naskah-naskah Yang Berkaitan Dengan Izin Tinggal Tetap;;Selama masih dipergunakan ;4;;Musnah;
GR 02.04;Substantif;"Alih Status (Konversi) Izin Tinggal Termasuk Penolakannya : Naskah-naskah Yang Berkaitan Dengan Alih Status(Konversi) Izin Tinggal dan Penolakannya
";;Selama masih dipergunakan ;4;;Musnah;
GR 02.05;Substantif;"Surat Keterangan Keimigrasian (SKIM) : Naskah-naskah Yang Berkaitan Dengan Surat Izin Keterangan Keimigrasian
";;Selama masih dipergunakan ;2;;Musnah;
GR 02.06;Substantif;"Skip Alur Pengambilan Data Biometrik : Naskah-naskah Yang Berkaitan Dengan Skip Alur Pengambilan Data Biometrik
";;;;;;
GR 02.07;Substantif;"Penelaahan Status Keimigrasian : Naskah-naskah Yang Berkaitan Dengan Penelaah Status Keimigrasian termasuk Anak Berkewarganegaraan Ganda
Terbatas, Kawin Campur
";;Selama masih dipergunakan ;5;;Musnah;
GR 02.08;Substantif;"Pengelolaan Dokumen Izin Tinggal Keimigrasian : Naskah-naskah Yang Berkaitan Dengan Pengelolaan Naskah- naskah Izin Tinggal Keimigrasian
";1; Tahun  setelah pemeriksaan;5;;Dinilai Kembali;
GR 02.09;Substantif;"Permohonan Exit Permit Only (EPO) : Naskah-naskah  Yang  Berkaitan  Dengan  Exit  Permit  Only (EPO)
";;;;;;
GR 02.10;Substantif;Permohonan Izin Masuk Kembali (IMK) : Naskah-naskah Yang Berkaitan Dengan Izin Masuk Kembali;;;;;;
GR 03.01;Substantif;"Penyelidikan dan Penyidikan Keimigrasian : Naskah-naskah yang berkaitan dengan Penyelidikan dan Penyidikan Keimigrasian (Pemantauan, Penyidikan, termasuk Surat Perintah dan Berita Acara Pemeriksaan (BAP), Laporan Kejadian  /  Pengaduan,  Surat  Perintah  Tugas,  Surat
Perinytah Penyidikan, Surat Perintah Penggeledaan
";2;;5;;Dinilai Kembali;
GR 03.02;Substantif;"Pencegahan dan Penangkalan : Naskah-naskah Yang Berkaitan dengan Pencegahan dan Penagkalan
";2;;5;;Dinilai Kembali;
GR 03.03;Substantif;Imigran Ilegal : Naskah-naskah Yang Berkaitan dengan Imigran Ilegal;2;;5;;Dinilai Kembali;
GR 03.04;Substantif;"Pencabutan,  Pembatalan,  Penahanan  Doklan  dan  DOKIM
termasuk Siar Paspor Yang Dibatalkan : Naskah-naskah Yang Berkaitan dengan Pencabutan, Pembatalan, Penahanan Doklan dan DOKIM Termasuk Siar Paspor yang Dibtalkan

 ";2;;5;;Dinilai Kembali;
GR 03.05;Substantif;"Pengawasan Terhadap WNI : Naskah-naskah Yang Berkaitan dengan Pengawasan Terhadap WNI
";2;;3;;Musnah;
GR 03.06;Substantif;"Pengawasan Terhadap WNA : Naskah-naskah Yang Berkaitan dengan Pengawasan Terhadap WNA
";2;;3;;Musnah;
GR 03.07;Substantif;Kepatuhan Internal : Naskah-naskah Yang Berkaitan dengan Kepatuhan Internal;2;;3;;Musnah;kecuali BAP masuk berkas
GR 03.08;Substantif;Pendeportasian : Naskah-naskah Yang Berkaitan dengan Pendeportasian;;;;;;
GR 03.09;Substantif;"Tindakan Administratif Keimigrasian : Naskah-naskah  Yang  Berkaitan  dengan  Pelanggaran  dan
Penindakan Tindakan Administratif Keimigrasian
";;;;;;
GR 03.10;Substantif;"Daftar Pencarian Orang (DPO) : Naskah-naskah  Yang  Berkaitan  dengan  Daftar  Pencarian Orang (DPO)
";;;;;;
GR 03.11;Substantif;Pendetensian : Naskah-naskah Yang Berkaitan dengan Pendetensian;;;;;;
GR 04.01;Substantif;"Penyelidikan dan Operasi Intelijen Keimigrasian : Naskah-naskah Yang Berkaitan dengan Penyelidikan dan Operasi Intelijen Keimigrasian diantaranya (Pengumpulan Bahan    Keterangan/Pulbaket;    Operasi    Kewilayahan;
Penggalangan)
";2;;5;;Dinilai Kembali;
GR 04.02;Substantif;"Pengamanan Keimigrasian : Naskah-naskah Yang Berkaitan dengan Pengamanan Keimigrasian diantaranya (pengamanan perizinan keimigrasian; Pengamanan Personil, Material dan Dokumen;
Pengamanan Kantor dan Instalasi Vital)
";2;;3;;Musnah;
GR 04.03;Substantif;"Kerjasama Intelijen Keimigrasian : Naskah-naskah Yang Berkaitan dengan Kerjasama Intelijen Keimigrasian Lembaga dan Non Lembaga
";2;;3;;Musnah;
GR 04.04;Substantif;"Produk Intelijen Keimigrasian : Naskah-naskah Yang Berkaitan dengan Produk Intelijen Keimigrasian
";;Selama masih berlaku;5;;Permanen;
GR 05.01;Substantif;"Kerja Sama Antar Lembaga (Dalam Negeri) : Naskah-naskah Yang Berkaitan dengan Kerja Sama Antar Lembaga (Dalam Negeri)
";;;;;;
GR 05.02;Substantif;"Kerja Sama Antar negara : Naskah-naskah Yang Berkaitan dengan Kerja Sama Antar Negara (Bilateral dan Multilateral)
";;;;;;
GR 05.03;Substantif;Kerja Sama dengan Organisasi Internasional : Naskah-naskah Yang Berkaitan dengan Kerja Sama dengan Organisasi Internasional;;;;;;
GR 05.04;Substantif;"Pembinaan Perwakilan RI di Luar Negeri : Naskah-naskah Yang Berkaitan dengan Pembinaan Perwakilan RI di Luar Negeri
";;;;;;
GR 06.01;Substantif;"Lintas Informasi Internal termasuk Tukar Menukar Informasi
dan Pelaporan Kegiatan Keimigrasian : Naskah-naskah Yang Berkaitan dengan Lintas Informasi Internal termasuk Tukar Menukar Informasi dan Pelaporan Kegiatan Keimigrasian

 ";2;Tahun setelah diperbaharui;3;;Musnah;
GR 06.02;Substantif;"Lintas  Informasi  External  termasuk  Pertukaran  Informasi
dengan Institusi di Luar Imigrasi : Naskah-naskah Yang Berkaitan dengan Lintas Informasi External termasuk Pertukaran Informasi dengan Institusi di
Luar Imigrasi

 ";2;Tahun setelah diperbaharui;3;;Musnah;
GR 06.03;Substantif;"Data Keimigrasian : Naskah-naskah Yang Berkaitan dengan Data Data Keimigrasian
";1;Tahun setelah diperbaharui;1;;Musnah;
GR 06.04;Substantif;"Permohonan Data Keimigrasian : Naskah-naskah Yang Berkaitan dengan Permohonan Data Data Keimigrasian
";1;Tahun setelah diperbaharui;1;;Musnah;
GR 06.05;Substantif;"Perubahan Data Status Keimigrasian WNA : Naskah-naskah yang berkaitan dengan lapor kematian, lapor lahir, perubahan alamat, pergantian kewarganegaraan
";2;Tahun setelah diperbaharui;1;;Musnah;
GR 06.06;Substantif;"Data Permohonan Ditolak Sistem : Naskah-naskah yang berkaitan dengan berkas pembatalan permohonan karena ditolak sistem
";2;Tahun setelah diperbaharui;1;;Musnah;
GR 07.01;Substantif;"Warga Negara Indonesia : Naskah-naskah Keimigrasian yang Berkaitan dengan Perwakilan Luar Negeri Warga Indonesia
";;Selama masih dipergunakan ;1;;Musnah;
GR 07.02;Substantif;"Warga Negara Asing :Naskah-naskah Keimigrasian yang Berkaitan dengan Perwakilan Luar Negeri Warga Negara Asing
";;Selama masih dipergunakan ;1;;Musnah;
KI 01.01;Substantif;"Proses Penyelesaian Permohonan Pencatatan Ciptaan
Proses Penyelesain Permohonan Pencatatan
- Pemeriksaan Administrasi/Formalitas
- Ralat / Perbaikan Permohonan dan Surat Pencatatan Ciptaan
- Pengalihan Hak
- Perubahan Nama dan Alamat
- Penolakan
- Penarikan (Atas Permintaan Sendiri atau Kekurangan Formalitas Tidak Terpenuhi)
";2;;3;;Musnah;
KI 01.01.01;Substantif;"Pemberitahuan Kekurangan Kelengkapan Permohonan : Naskah-naskah yang berkaitan dengan kegiatan permintaan dokumen kelengkapan atas kekurangan  persyaratan  permohonan  kepada
pemohon hak cipta

";2;;3;;Musnah;
KI 01.01.02;Substantif;"Tarik Kembali : Naskah-naskah yang berkaitan dengan kegiatan putusan akhir berupa putusan dianggap ditarik kembali dari proses penyelesaian permohonan hak cipta
";2;;3;;Musnah;
KI 01.01.03;Substantif;" Tidak Dapat Dicatatkan : Naskah-naskah yang berkaitan dengan kegiatan putusan akhir berupa putusan tidak dapat dicatatatkan dari proses penyelesaian
pemohonan hak cipla
";2;;3;;Musnah;
KI 01.02.01;Substantif;"Pemberitahuan Kekurangan Kelengkapan Permohonan Pasca Pencatatan Ciptaan : Naskah-naskah yang berkaitan dengan kegiatan permintaan dokumen kelengkapan atas kekurangan  persyaratan  permohonan  pasca pencatatan ciptaan kepada pemegang ciptaan
";2;;3;;Musnah;
KI 01.02.02;Substantif;Pemberitahuan Kekurangan Kelengkapan Persyaratan Formalitas : Naskah-naskah yang berkaitan dengan kegiatan permintaan dokumen kelengkapan atas kekurangan   persyaratan   formalitas   kepada pemohon desain industri ;2;;3;;Musnah;
KI 01.02.03;Substantif;Koreksi Surat Pencatatan Ciptaan  : Naskah-naskah yang berkaitan dengan kegiatan permohonan koreksi surat pencatatan ciptaan atas ciptaan yang telah dicatatkan dalam daftar  umum ciptaan ;2;;3;;Musnah;
KI 01.02.04;Substantif;"Pencatatan Pengalihan Hak : Naskah-naskah yang berkaitan dengan kegiatan permohonan pencatatan pengalihan hak atas ciptaan  yang  telah  dicatatkan  dalam  daftar
umum ciptaan
";2;;3;;Musnah;
KI 01.02.05;Substantif;"Pencatatan Perjanjian Lisensi Berdasarkan Surat Pencatatan Ciptaan : Naskah-naskah yang berkaitan dengan kegiatan permohonan pencatatan perjanjian lisensi atas ciptaan  yang  telah  dibatalkan  dalam  daftar umum ciptaan

 ";;;;;;
KI 01.02.06;Substantif;"Pencatatan Perjanjian Lisensi Tidak Berdasarkan Surat Pencatatan Ciptaan : Naskah-naskah yang berkaitan dengan kegiatan permohonan pencatatan perjanjian lisensi atas ciptaan  yang  tidak  dicatatakan  dalam  daftarumum ciptaan

";;;;;;
KI 01.02.07;Substantif;"Petikan Resmi Surat Pencatatan Ciptaan : Naskah-naskah yang berkaitan dengan kegiatan permohonan petikan resmi surat pencatatan ciptaan atas ciptaan yang telah dicatatkan dalam
daftar umum ciptaan
";;;;;;
KI 01.02.08;Substantif;"Salinan Surat Pencatatan Ciptaan : Naskah-naskah yang berkaitan dengan kegiatan permohonan salinan surat pencatatan ciptaan atas ciptaan yang telah dicatatkan dalam daftar umum ciptaan
";;;;;;
KI 01.02.09;Substantif;"Pembatalan Ciptaan : Naskah-naskah yang berkaitan dengan kegiatan permohonan  pembalalan  ciptaan  atas  ciptaan yang telah dicatatkan dalam daftar umum ciptaan
";;;;;;
KI 01.02.10;Substantif;"Penghapusan Ciptaan : Naskah-naskah yang berkaitan dengan kegiatan permohonan penghapusan ciptaan atas ciptaan yang  telah  dicatatkan  dalam  daftar  umum
ciptaan
";;;;;;
KI 01.03;Substantif;Pelayanan Hukum/Pendapat Hukum;;;;;;
KI 01.03.01;Substantif;"Pertimbangan/Pendapat Hukum Hak Cipta : Naskah-naskah yang berkaitan dengan kegiatan pertimbangan/pendapat hukum hak cipta
";;;;;;
KI 01.03.02;Substantif;"Keputusan Penghapusan Hak Cipta atas Permohonan Pemegang Hak Cipta : Naskah-naskah yang berkaitan dengan kegiatan
penghapusan hak cipta atas permohonan pemegang hak cipta

 ";;;;;;
KI 01.03.03;Substantif;"Keputusan Pembatalan Hak Cipta atas Putusan Pengadilan : Naskah-naskah yang berkaitan dengan kegiatan pembatalan hak cipta atas putusan pengadilan

 ";;;;;;
KI 01.03.04;Substantif;"Tanggapan atas Permohonan Keterangan Tertulis Hak Cipta : Naskah-naskah yang berkaitan dengan kegiatan tanggapan atas permohonan keterangan tertulis hak cipta

 ";;;;;;
KI 01.03.05;Substantif;"Ahli perkara Pidana Hak Cipta : Naskah-naskah yang berkaitan dengan kegiatan
permohonan ahli perkara pidana hak cipta
";;;;;;
KI 01.03.06;Substantif;"Saksi ahli Hak Cipta di Pengadilan : Naskah-naskah yang berkaitan dengan kegiatan
permohonan saksi ahli hak cipta di pengadilan
";;;;;;
KI 01.03.07;Substantif;"Kuasa Khusus Pengadilan atas perkara Hak Cipta : Naskah-naskah yang berkaitan dengan kegiatan permohonan kuasa khusus pengadilan atas perkara hak cipta

 ";;;;;;
KI 01.04;Substantif;Lembaga Manajemen Kolektif;2;;3;;Permanen;
KI 01.04.01;Substantif;"Rekomendasi Ijin Operasional : Naskah-naskah yang berkaitan dengan kegiatan keputusan rekomendasi atas perolehan ijin
operasional lembaga manajemen kolektif
";;;;;;
KI 01.04.02;Substantif;"Pemberitahuan Verifikasi Ijin Operasional : Naskah-naskah yang berkaitan dengan kegiatan pemberitahuan akan dilakukan verifikasi ijin
operasional kepada lembaga manajemen kolektif
";;;;;;
KI 01.04.03;Substantif;"Pemberitahuan Hasil Verifikasi Operasional : Naskah-naskah yang berkaitan dengan kegiatan pemberitahuan atas hasil verifikasi ijin
operasional lembaga manajemen kolektif
";;;;;;
KI 01.04.04;Substantif;"Evaluasi LMK : Naskah-naskah yang berkaitan dengan kegiatan
poses evaluasi LMK
";;;;;;
KI 02.01.02;Substantif;"Proses Penyelesaian Permohonan Pendaftaran Desain
Industri ; Pemberitahuan Kekurangan Kelengkapan
Persyaratan Formalitas:Naskah-naskah yang berkaitan dengan kegiatan permintaan dokumen kelengkapan atas kekurangan   persyaratan   formalitas   kepada
pemohon desain industri


";2;;3;;Musnah;
KI 02.01.02;Substantif;"Perpanjangan  Waktu  Pemenuhan  Kelengkapan Persyaratan : Naskah-naskah yang berkaitan dengan kegiatan pemenuhan permohonan atas permintaan perpanjangan waktu untuk melengkapi kelengkapan  persyaratan  permohonan  desain
industri

";;;;;;
KI 02.01.03;Substantif;"Pemberitahuan Kekurangan Biaya Permohonan : Naskah-naskah yang berkaitan dengan kegiatan pemberitahuan kekurangan biaya permohonan
desain industri
";;;;;;
KI 02.01.04;Substantif;"Pemberitahuan Perubahan Data Permohonan : Naskah-naskah yang berkaitan dengan kegiatan
pemenuhan permohonan atas permintaan perubahan data permohonan desain industri
";;;;;;
KI 02.01.05;Substantif;"Pemberitahuan Perubahan Data Konsultan : Naskah-naskah yang berkaitan dengan kegiatan pemenuhan permohonan atas permintaan
perubahan data konsultan
";;;;;;
KI 02.01.06;Substantif;"Penarikan Kembali Permohonan Atas Permintaan Pemohon : Naskah-naskah yang berkaitan dengan kegiatan putusan akhir berupa putusan penarikan kembali permohonan atas permintaan pemohon

 ";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 02.01.07;Substantif;"Keputusan Dianggap Ditarik Kembali (Formalitas) : Naskah-naskah yang berkaitan dengan kegiatan putusan akhir berupa putusan dianggap ditarik kembali  (formalitas)  dari  proses  penyelesaian permohonan desain industri
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 02.01.08;Substantif;"Penundaan Pengumuman : Naskah-naskah yang berkaitan dengan kegiatan pemenuhan permohonan penundaan pengumuman  yang  dilakukan  oleh  pemohon
desain industri
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 02.01.09;Substantif;"Keberatan atas Pengumuman : Naskah-naskah yang berkaitan dengan kegiatan penyampaian tentang adanya keberatan dari masyarakat atas desain industri yang sedang diumumkan  DJKI  dalam  Berita  Resmi  Desain Industri kepada pemohon desain industri
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 02.01.10;Substantif;Pemberitahuan Kekurangan Kelengkapan : Persyaratan Pemeriksaan Substansi;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 02.01.11;Substantif;"Keputusan Dianggap Ditarik Kembali (Substantif) : Naskah-naskah yang berkaitan dengan kegiatan putusan akhir berupa putusan dianggap ditarik kembali  (substantif)  dari  proses  penyelesaian
permohonan desain industri
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 02.01.12;Substantif;"Keputusan Tolak : Naskah-naskah yang berkaitan dengan kegiatan
putusan akhir berupa putusan ditolak dari proses penyelesaian permohonan desain industri
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 02.02;Substantif;"Bukti Prioritas : Naskah-naskah yang berkaitan dengan kegiatan penerbitan atas permohonan bukti prioritas dari pemohon desain industri  dalam  negeri  untuk  proses  pendaftaran  desain
industri mereka di luar negeri
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 02.03;Substantif;Pasca Pendaftaran Desain Industri;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 02.03.01;Substantif;"Pemberitahuan Kekurangan Kelengkapan Permohonan Pasca Pendaftaran Desain Industri : Naskah-naskah yang berkaitan dengan kegiatan permintaan dokumen kelengkapan atas kekurangan persyaratan permohonan pasca pendaftaran  desain  industri  kepada  pemegang
hak desain industri

 ";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 02.03.02;Substantif;"Perubahan Nama dan/atau Alamat : Naskah-naskah yang berkaitan dengan kegiatan permohonan Perubahan Nama dan/atau Alamat pemegang  hak  desain  industri  atas  desain industri yang telah didaftar
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 02.03.03;Substantif;"Koreksi Sertifikat Desain Industri : Naskah-naskah yang berkaitan dengan kegiatanpermohonan  koreksi  sertifikat  desain  industri
atas desain industri yang telah didaftar
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 02.03.04;Substantif;"Pencatatan Pengalihan Hak Desain Industri : Naskah-naskah yang berkaitan dengan kegiatan permohonan pencatatan pengalihan hak desain
industri atas desain industri yang telah didaftar
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 02.03.05;Substantif;"Pencatatan Perjanjian Lisensi Desain Industri : Naskah-naskah yang berkaitan dengan kegiatan permohonan pencatatan perjanjian lisensi desain
industri atas desain industri yang telah didaftar
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 02.03.06;Substantif;"Petikan Resmi Sertifikat Desain Industri : Naskah-naskah yang berkaitan dengan kegiatan permohonan petikan resmi desain industri atas
desain industri yang telah didaftar
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 02.03.07;Substantif;"Salinan Sertifikat Desain Industri : Naskah-naskah yang berkaitan dengan kegiatan permohonan  salinan  sertifikat  desain  industri
atas desain industri yang telah didaftar
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 02.03.08;Substantif;"Pembatalan Desain Industri : Naskah-naskah yang berkaitan dengan kegiatan permohonan pembatalan desain industri atas
desain industri yang telah didaftar
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 02.03.09;Substantif;"Penghapusan Desain Industri : Naskah-naskah yang berkaitan dengan kegiatan permohonan penghapusan desain industri atas
desain industri yang telah didaftar
";2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 02.04;Substantif;Pelayanan Hukum/Pendapat Hukum;;;;;;
KI 02.04.01;Substantif;"Pertimbangan/Pendapat Hukum Desain Industri : Naskah-naskah yang berkaitan dengan kegiatan
pertimbangan/pendapat hukum desain industri
";;;;;;
KI 02.04.02;Substantif;"Keputusan Pembatalan Desain Industri : Naskah-naskah yang berkaitan dengan kegiatan keputusan pembatalan desain industri
";;;;;;
KI 02.04.03;Substantif;"Tanggapan atas Permohonan Keterangan TertulisDesain Industri :Naskah-naskah yang berkaitan dengan kegiatan tanggapan atas permohonan keterangan tertulis desain industri
";;;;;;
KI 02.04.04;Substantif;"Ahli perkara Pidana Desain Industri : Naskah-naskah yang berkaitan dengan kegiatan permohonan ahli perkara pidana desaini Industri
";;;;;;
KI 02.04.05;Substantif;"Saksi ahli Desain Industri di Pengadilan : Naskah-naskah yang berkaitan dengan kegiatan permohonan saksi ahli desain industri di pengadilan
";;;;;;
KI 02.04.06;Substantif;"Kuasa Khusus Pengadilan atas perkara Desain Industri : Naskah-naskah yang berkaitan dengan kegiatan permohonan kuasa khusus pengadilan atas perkara desain industri

 ";;;;;;
KI 02.05;Substantif;"Komisi Banding Desain Industri : Naskah-naskah yang berkaitan dengan kegiatan permohonan banding desain industri
";;;;;;
KI 02.06;Substantif;"Pendaftaran Desain Industri Internasional : Naskah-naskah yang berkaitan dengan kegiatan permohonan pendaftaran desain industri internasional
";;;;;;
KI 02.07;Substantif;"Proses Penyelesaian Permohonan Pencatatan Desain Industri : Naskah-naskah yang berkaitan dengan kegiatan proses penyelesaian permohonan pencatatan desain industri
";;;;;;
KI 03.01;Substantif;Proses Penyelesaian Permohonan Pendaftaran;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 03.01.01;Substantif;Pemeriksaan Administrasi/Formalitas;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 03.01.02;Substantif;Perbaikan Data Permohonan;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
KI 03.01.03;Substantif;Publikasi/Pengumuman/Berita Resmi;2;Tahun setelah masa perlindungan berakhir;3;;Musnah;
