kode_klasifikasi;jenis_klasifikasi;jenis_arsip;waktu_aktif_num;waktu_aktif_ket;waktu_inaktif_num;waktu_inaktif_ket;nasib_akhir;nasib_akhir_ket
AH 05.01;Substantif;Pendaftaran Sertifikat Jaminan Fidusia;2;Tahun setelah jangka waktu habis/diperbaharui;3;;Musnah;
AH 05.02;Substantif;Perubahan Sertifikat Jaminan Fidusia;2;Tahun setelah jangka waktu habis/diperbaharui;3;;Musnah;
AH 05.03;Substantif;Penghapusan/Pencoretan Sertifikat Jaminan Fidusia;2;Tahun setelah jangka waktu habis/diperbaharui;3;;Musnah;
AH 06.01;Substantif;Pendaftaran Wasiat;1;Tahun setelah berkekuatan tetap;1;;Permanen ;
AH 06.02;Substantif;Perwalian Pengawas;1;Tahun setelah berkekuatan tetap;1;;Permanen ;
AH 06.03;Substantif;Pengampu Pengawas;1;Tahun setelah berkekuatan tetap;1;;Permanen ;
AH 06.04;Substantif;Pengampu Anak Dalam Kandungan;1;Tahun setelah berkekuatan tetap;1;;Permanen ;
AH 06.05;Substantif;"Pengampu Harta Peninggalan yang tidak ada kuasanya
(Onbeheerde Nalatenschap)
";1;Tahun setelah berkekuatan tetap;1;;Permanen ;
AH 06.06;Substantif;Kurator Dalam Kepailitan;1;Tahun setelah berkekuatan tetap;1;;Permanen ;
AH 06.07;Substantif;Wali Sementara;1;Tahun setelah berkekuatan tetap;1;;Permanen ;
AH 06.08;Substantif;"Pengurus  Harta  Kekayaan  Orang  yang  Dinyatakan  Tidak
Hadir (afwijzig)
";1;Tahun setelah berkekuatan tetap;1;;Permanen ;
AH 06.09;Substantif;Surat Keterangan Hak Waris;1;Tahun setelah berkekuatan tetap;1;;Permanen ;
AH 06.10;Substantif;Transfer Dana;1;Tahun setelah berkekuatan tetap;1;;Permanen ;
AH 07.01;Substantif;Pendapat Hukum tentang Pelayanan Pidana ;2;;3;;Musnah;
AH 07.02;Substantif;Pendapat Hukum tentang Pelayanan Pidana;2;;3;;Musnah;
AH 07.03;Substantif;Pendapat Hukum tentang Saksi Ahli;2;;3;;Musnah;
AH 07.04;Substantif;"Kajian dan Telaah tentang Pemantauan dan Evaluasi Hukum
Pidana
";2;Tahun setelah diundangkan;3;;Musnah;
AH 08.01;Substantif;"Sidik Jari : - Slip Sidik Jari
- Hasil Rumusan Identifikasi Sidik Jari
";2;;3;;Permanen;
AH 08.02;Substantif;Data dan Informasi Sidik Jari;2;Tahun setelah diperbaharui;2;;Musnah;
AH 09.01;Substantif;Seleksi Administrasi Calon PPNS;2;Tahun setelah pengangkatan;3;;Musnah;
AH 09.02;Substantif;Pengangkatan PPNS;2;Tahun setelah pengangkatan;3;;Musnah;
AH 09.03;Substantif;Pengangkatan Kembali PPNS;2;Tahun setelah pengangkatan;3;;Musnah;
AH 09.04;Substantif;Pelantikan PPNS;2;Tahun setelah pelantikan;3;;Musnah;
AH 09.05;Substantif;Mutasi PPNS;2;Tahun setelah mutasi;3;;Musnah;
AH 09.06;Substantif;Pemberhentian Non Teknis Operasional;2;Tahun setelah pemberhentian;3;;Musnah;
AH 09.07;Substantif;Pemberhentian Sebagai PPNS;2;Tahun setelah pemberhentian;3;;Musnah;
AH 09.08;Substantif;Pemberhentian atas Permintaan Sendiri;2;Tahun setelah pemberhentian;3;;Musnah;
AH 09.09;Substantif;Perpanjangan KTP;2;"Tahun setelah
masa KTP habis berlaku
";3;;Musnah;
AH 09.10;Substantif;Penerbitan KTP yang Hilang/Rusak;2;"Tahun setelah
masa KTP habis berlaku
";3;;Musnah;
AH 10.01;Substantif;"Kewarganegaraan : 
- Proses Pengurusan Kewarganegaraan

- Bukti Kewarganegaraan Termasuk KEPPRES dan Berita Acara Sumpah
- Keterangan Pelepasan Kewarganegaraan
";2;;3;;Permanen;
AH 10.01.01;Substantif;Proses Pengurusan Kewarganegaraan;2;;3;;;
AH 10.01.02;Substantif;"Bukti Kewarganegaraan Termasuk KEPPRES dan
Berita Acara Sumpah
";2;;3;;;
AH 10.01.03;Substantif;Keterangan Pelepasan Kewarganegaraan;2;;3;;Permanen;
AH 10.01.04;Substantif;Surat Keterangan Status Kewarganegaraan;2;;3;;Permanen;
AH 10.01.05;Substantif;Surat Keputusan Kewarganegaraan RI Bagi Anak Berkewarganegaraan ganda;2;;3;;Permanen;
AH 10.01.06;Substantif;Surat Keputusan Permohonan Tetap Menjadi WNI;2;;3;;Permanen;
AH 10.01.07;Substantif;"Surat Keputusan Permohonan Memperoleh
Kembali Kewarganegaraan RI
";2;;3;;Permanen;
AH 10.01.08;Substantif;"Surat Keterangan Kehilangan Warga Negara RI
atas Kemauan Sendiri
";2;;3;;Permanen;
AH 10.01.09;Substantif;"Surat Pengantar Kepada Presiden RI Permohonan
Kehilangan Kewarganegaraan RI
";2;;3;;Permanen;
AH 10.01.10;Substantif;"Dokumen Laporan Kehilangan Kewarganegaraan
RI dari Kantor Perwakilan RI di Luar Negeri
";2;;3;;Permanen;
AH 10.01.11;Substantif;"SBKRI (Surat Bukti Kewarganegaraan Republik
Indonesia)
";2;;3;;Permanen;
AH 10.02;Substantif;"Pewarganegaraan : Permohonan  Pewarganegaraan   melalui Perkawinan Berdasarkan Pasal 19 Undang-
Undang Nomor 12 Tahun 2006 ; Permohonan Karena Jasa Terhadap Negara Indonesia Berdasarkan Pasal 20 Undang-Undang
Nomor 12 Tahun 2006 ; Permohonan Naturalisasi Murni berdasarkan Pasal 8 Undang-Undang Nomor 12 Tahun 2006

";2;;3;;Permanen;
AH 11.01;Substantif;"Keputusan Menteri Hukum dan HAM tentang Pengesahan
Badan Hukum Partai Politik dan salinan akta notaris
";2;;3;;Permanen;
AH 11.02;Substantif;"Keputusan Menteri Hukum dan HAM tentang Pengesahan
Kepengurusan Partai Politik dan salinan akta notaris
";2;;3;;Permanen;
AH 11.03;Substantif;"Keputusan Menteri Hukum dan HAM tentang Pengesahan
AD/ART Partai Politik dan salinan akta notaris
";2;;3;;Permanen;
AH 11.04;Substantif;"Dokumen Persyaratan Pendirian Badan Hukum Partai Politik
kecuali salinan akta notaris
";2;;3;;Permanen;
AH 11.05;Substantif;"Dokumen Persyaratan Pengesahan Kepengurusan Partai
Politik kecuali salinan akta notaris
";2;;3;;Permanen;
AH 11.06;Substantif;"Dokumen  Persyaratan  Pengesahan  AD/ART  Partai  Politik
kecuali salinan akta notaris
";2;;3;;Permanen;
AH 11.07;Substantif;Dokumen Advokasi Partai Politik;2;;3;;Permanen;
AH 11.08;Substantif;"Keputusan Menteri Hukum dan HAM tentang Pembubaran
Partai Politik
";2;;3;;Permanen;
AH 12.01;Substantif;"Perjanjian  Bantuan  Hukum  Timbal  Balik  Dalam  Masalah
Pidana
";3;Tahun setelah  berkekuatan hukum tetap;;;;
AH 12.02;Substantif;"Surat  Rekomendasi  Penanganan  Bantuan  Hukum  Timbal
Balik Dalam Masalah Pidana
";;;;;;
AH 12.03;Substantif;Perjanjian Ekstradisi dan Pemindahan Narapidana;;;;;;
